!Nr.	!Urne						JUSOS		RCDS		LUST		LHG		PHG		LISTE		GHG		KULT		#Ungültig	#Enthaltung
-	-						#bc0000		#1e1e1e		#bf5488		#ffd200		#ff9900		#ff0093		#00a417		#6565bd		#cccccc		#c0c0c0
1	Juridicum 1					87		87		12		58		8		0		0		0		1		5			
2	Juridicum 2					194		131		27		80		22		0		0		0		9		19			
3	Mensa 1 Nassestraße				31		18		13		4		3		0		0		0		0		3			
4	Mensa 2 Nassestraße				153		84		63		58		38		0		0		0		8		4			
5	Hauptgebäude 1					146		33		60		22		20		0		0		0		6		4			
6	Hauptgebäude 2					151		64		89		34		18		0		0		0		10		6			
7	Hauptgebäude 3					62		43		16		16		7		0		0		0		2		4			
8	FAZ-Café<br>Hauptgebäude 4			30		29		15		5		5		0		0		0		1		2			
9	Anglistik<br>Kaiserstraße			57		23		13		12		4		0		0		0		2		2			
10	Math.-Nat. 1					34		56		14		13		8		0		0		0		2		1			
11	Math.-Nat. 2					80		23		50		22		11		0		0		0		5		3			
12	Math.-Nat. 3					46		25		11		21		8		0		0		0		3		0			
13	Math.-Nat. 4					30		12		19		11		7		0		0		0		1		1			
14	Pop-Mensa					120		112		46		53		35		0		0		0		7		9			
15	Anatomie					39		37		11		13		5		0		0		0		1		4			
16	Mathematik					51		61		15		15		7		0		0		0		5		3			
17	MNL						78		60		18		45		2		0		0		0		3		5			
18	Kantine Venusberg				22		23		5		6		9		0		0		0		2		3			
19	Informatik, Sportanlage Römerstraße		38		18		11		15		44		0		0		0		0		3			
20	ULB						90		46		41		17		14		0		0		0		5		2			
21	Sprachlernzentrum<br>Medienwissenschaften	41		13		13		7		7		0		0		0		3		8			
22	Venusberg					26		25		7		16		1		0		0		0		1		3			
23	Physik<br>IGW					41		43		9		12		5		0		0		0		3		1			
24	Psychologie					36		10		16		5		11		0		0		0		5		4			
25	Wahlbüro (Briefwahl)				2		2		8		2		2		0		0		0		0		0			
