!Nr.	!Urne						RCDS		JUSOS		LHG		LUST		LISTE		KULT	GHGP	SDS	#Ungültig	#Enthaltung
-	-						#0087c1		#eb0000		#ffff00		#ff0000		#b91023		#efd420	#000000	#000000	#cccccc		#c0c0c0
1	Juridicum 1					141		93		62		7		8		71	0	0	9		11
2	Juridicum 2					179		155		130		24		28		61	0	0	4		33
3	Mensa 1 Nassestraße				44		37		18		18		23		5	0	0	2		11
4	Mensa 2 Nassestraße				104		98		30		38		36		30	0	0	11		27
5	Hauptgebäude 1					98		91		26		30		31		20	0	0	5		10
6	Hauptgebäude 2					96		87		22		41		37		23	0	0	8		21
7	Hauptgebäude 3					61		41		7		25		12		13	0	0	0		19
8	FAZ-Café<br>Hauptgebäude 4			26		24		7		4		7		4	0	0	0		2
9	Anglistik<br>Kaiserstraße			28		51		8		9		7		3	0	0	3		8
10	Math.-Nat. 1					59		35		7		2		13		7	0	0	1		6
11	Math.-Nat. 2					25		48		11		39		20		19	0	0	4		8
12	Math.-Nat. 3					18		23		13		4		11		3	0	0	4		3
13	Math.-Nat. 4					26		31		17		29		12		12	0	0	2		16
14	Pop-Mensa					85		68		31		21		25		6	0	0	3		22
15	Anatomie					56		82		69		13		6		17	0	0	3		24
16	Mathematik					56		42		23		15		16		7	0	0	5		8
17	MNL						110		83		51		24		15		16	0	0	4		15
18	Kantine Venusberg				25		17		8		4		1		3	0	0	0		5
19	Informatik, Sportanlage Römerstraße		22		25		17		13		45		13	0	0	1		5
20	ULB						49		56		17		29		20		8	0	0	2		8
21	Sprachlernzentrum<br>Medienwissenschaften	16		34		11		21		8		5	0	0	7		15
22	Venusberg					56		39		10		9		4		2	0	0	0		9
23	Physik<br>IGW					32		44		24		7		13		3	0	0	3		9
24	Psychologie					8		25		7		14		6		3	0	0	2		1
25	Wahlbüro (Briefwahl)				3		5		1		7		3		2	0	0	0		2
